"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","taxon","trainingExamples","spatialResolution","learningRate","treeComplexity","nTrees","GBMemory","numPredictors","cells"
"160",1615.572,1589.086,24.5470000000059,1.89699999999721,0.805029393863474,1,"Picea",6000,0.5,0.001,4,NA,3.75,5,35000
"161",3398.06599999999,3370.6,25.4959999999992,1.91599999999744,0.814783549979493,1,"Picea",11000,0.5,0.001,4,NA,3.75,5,35000
"162",3308.63499999999,3282.11599999999,24.2930000000051,2.12699999999313,0.814490659463854,1,"Picea",11000,0.5,0.001,4,NA,3.75,5,35000
"163",3671.11,3641.96800000001,27.1979999999894,1.86600000000908,0.818798980953856,1,"Picea",11000,0.5,0.001,4,NA,3.75,5,35000
"164",89.2550000000047,75.653999999995,11.676999999996,1.89600000000792,0.764655378598962,1,"Picea",1000,0.5,0.001,5,NA,3.75,5,35000
"165",97.7649999999994,83.2859999999928,12.4890000000014,1.96100000001024,0.775602214922647,1,"Picea",1000,0.5,0.001,5,NA,3.75,5,35000
"166",125.161000000007,108.152000000002,14.9330000000045,2.0460000000021,0.76838699465894,1,"Picea",1000,0.5,0.001,5,NA,3.75,5,35000
"167",1525.148,1498.28599999999,24.8970000000118,1.92399999999907,0.803169476388227,1,"Picea",6000,0.5,0.001,5,NA,3.75,5,35000
"168",1646.149,1619.746,24.3800000000047,1.98099999999977,0.807305117068449,1,"Picea",6000,0.5,0.001,5,NA,3.75,5,35000
"169",1652.171,1625.36099999999,24.8099999999977,1.92900000000373,0.805885424141195,1,"Picea",6000,0.5,0.001,5,NA,3.75,5,35000
"170",3842.526,3813.89199999999,26.7020000000048,1.88000000000466,0.811740331782175,1,"Picea",11000,0.5,0.001,5,NA,3.75,5,35000
"171",17,10.842,4.30900000000001,1.785,0.741743670281166,1,"Picea",1000,0.5,0.01,1,NA,3.75,5,35000
"172",27.959,20.488,5.57900000000001,1.86499999999998,0.757476525661464,1,"Picea",1000,0.5,0.01,1,NA,3.75,5,35000
"173",17.818,11.154,4.80799999999999,1.82300000000001,0.760034973747527,1,"Picea",1000,0.5,0.01,1,NA,3.75,5,35000
"174",234.494,225.099,7.60000000000002,1.75599999999997,0.766017124703647,1,"Picea",6000,0.5,0.01,1,NA,3.75,5,35000
"175",233.724,224.261,7.63900000000001,1.78500000000008,0.761011275082426,1,"Picea",6000,0.5,0.01,1,NA,3.75,5,35000
"176",209.565,200.407,7.35000000000002,1.76800000000003,0.769190686963499,1,"Picea",6000,0.5,0.01,1,NA,3.75,5,35000
"177",597.586,587.036,8.74200000000019,1.75399999999991,0.777468688762035,1,"Picea",11000,0.5,0.01,1,NA,3.75,5,35000
"178",524.405,514.064,8.48500000000013,1.79999999999995,0.772844038168172,1,"Picea",11000,0.5,0.01,1,NA,3.75,5,35000
"179",593.866,582.961,9.07499999999982,1.77199999999993,0.771807976951889,1,"Picea",11000,0.5,0.01,1,NA,3.75,5,35000
"180",21.0280000000002,14.0859999999998,5.0920000000001,1.81400000000031,0.765048934642926,1,"Picea",1000,0.5,0.01,2,NA,3.75,5,35000
"181",20.3420000000001,13.4470000000001,5.07299999999987,1.79500000000007,0.776134617420653,1,"Picea",1000,0.5,0.01,2,NA,3.75,5,35000
"182",19.3099999999999,12.5819999999999,4.91000000000031,1.79199999999992,0.776506588266358,1,"Picea",1000,0.5,0.01,2,NA,3.75,5,35000
"183",273.407,262.565,9.01399999999967,1.78600000000006,0.795128394246447,1,"Picea",6000,0.5,0.01,2,NA,3.75,5,35000
"184",282.912,272.016,9.06899999999996,1.78600000000006,0.80258022206802,1,"Picea",6000,0.5,0.01,2,NA,3.75,5,35000
"185",257.596,247.409,8.38999999999987,1.75500000000011,0.806685558530873,1,"Picea",6000,0.5,0.01,2,NA,3.75,5,35000
"186",757.447,745.065,10.5690000000004,1.75399999999991,0.807122649721066,1,"Picea",11000,0.5,0.01,2,NA,3.75,5,35000
"187",798.227000000001,785.582,10.8280000000004,1.75900000000001,0.814958284452193,1,"Picea",11000,0.5,0.01,2,NA,3.75,5,35000
"188",764.03,751.933,10.29,1.75,0.804022516354785,1,"Picea",11000,0.5,0.01,2,NA,3.75,5,35000
"189",16.6820000000007,10.5470000000005,4.35299999999916,1.75300000000061,0.753019577721722,1,"Picea",1000,0.5,0.01,3,NA,3.75,5,35000
