"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"210",4310,7.821,1.11300000000003,4.67599999999999,1.84299999999999,0.652682082791894,0.25,"Picea",5,50,140000,2,6,4310,0.1,210
"211",4406,10.2280000000001,3.16700000000003,5.053,1.98000000000002,0.719070691614746,1,"Picea",5,50,8750,2,6,4406,0.125,211
"212",4356,8.59999999999997,1.76100000000002,4.78099999999995,2.029,0.703915824805745,0.5,"Picea",5,50,35000,2,6,4356,0.1,212
"213",4370,34.768,24.4340000000001,8.30999999999995,1.99300000000005,0.764646405100325,0.5,"Picea",5,500,35000,2,6,4370,0.1,213
"214",4422,31.304,18.41,10.8480000000001,2.01499999999999,0.743608327694019,0.25,"Picea",5,500,140000,2,6,4422,0.1,214
"215",4372,88.946,78.022,8.82499999999993,2.06500000000005,0.769218899724972,1,"Picea",5,1000,8750,2,6,4372,0.1,215
"216",4377,18.904,1.65999999999997,15.225,1.98900000000003,0.687606550907656,0.1,"Picea",5,50,875000,2,6,4377,0.125,216
"217",4368,78.958,66.903,10.062,1.96199999999999,0.770958701925731,0.5,"Picea",5,1000,35000,2,6,4368,0.1,217
"218",4325,75.677,57.268,16.321,2.048,0.772596644816661,0.25,"Picea",5,1000,140000,2,6,4325,0.1,218
"219",4327,79.313,24.406,52.625,2.25299999999999,0.767025629815837,0.1,"Picea",5,500,875000,2,6,4327,0.1,219
"220",4413,50.1420000000001,39.6950000000001,8.36199999999997,2.05200000000002,0.75774697421981,1,"Picea",5,500,8750,2,6,4413,0.1,220
"221",4365,194.887,94.037,98.578,2.24000000000001,0.776902536226575,0.1,"Picea",5,1000,875000,2,6,4365,0.1,221
"222",4457,8.04899999999998,1.51999999999998,4.39800000000002,2.09499999999997,0.680145435732704,0.5,"Picea",5,50,35000,2,9,4457,0.1,222
"223",4500,34.1039999999999,2.99700000000007,28.8589999999999,2.221,0.704388783361071,0.1,"Picea",5,50,875000,2,9,4500,0.111111111111111,223
"224",4456,30.11,17.104,10.915,2.05900000000003,0.76088634137684,0.25,"Picea",5,500,140000,2,9,4456,0.1,224
"225",4528,50.2670000000001,37.9689999999999,10.2430000000001,2.02300000000002,0.768483834415742,0.5,"Picea",5,500,35000,2,9,4528,0.1,225
"226",4521,8.43399999999997,1.25300000000004,5.13499999999999,2.01099999999997,0.682553142392247,0.25,"Picea",5,50,140000,2,9,4521,0.111111111111111,226
"227",4510,42.241,32.581,7.42999999999995,2.197,0.748367204181351,1,"Picea",5,500,8750,2,9,4510,0.1,227
"228",4445,108.688,94.148,12.132,2.197,0.785968638901427,0.5,"Picea",5,1000,35000,2,9,4445,0.1,228
