"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"137",10.787,1.962,6.836,1.96599999999999,0.784768101434768,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"138",10.75,1.92200000000001,6.83199999999999,1.974,0.790616662143826,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"139",45.828,23.289,20.254,2.262,0.789858671425113,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"140",46.608,23.727,20.574,2.27599999999998,0.793999715248841,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"141",47.008,23.982,20.65,2.34099999999998,0.783316486515663,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"142",44.811,22.709,19.763,2.30700000000002,0.787136003410854,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"143",42.246,22.375,17.849,1.99000000000001,0.797416467650263,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"144",41.146,21.924,17.252,1.94799999999998,0.795419071387537,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"145",70.586,40.497,28.088,1.97800000000001,0.79554025686849,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"146",80.819,44.391,34.097,2.30800000000005,0.784827011539897,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"147",71.843,40.326,29.235,2.24599999999998,0.779995955601492,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"148",77.477,44.8720000000001,30.525,2.048,0.789439234626717,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"149",71.0600000000001,41.7809999999999,27.296,1.95699999999999,0.793860091798236,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"150",71.616,41.654,27.9399999999999,1.99900000000002,0.794511637765268,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"151",104.845,62.75,40.0619999999999,2.0100000000001,0.801309086318368,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"152",105.88,63.664,40.2180000000001,1.97000000000003,0.79157237717642,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"153",104.888,63.1990000000001,39.671,1.99399999999991,0.782463207870571,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"154",123.879,75.8510000000001,45.95,2.05399999999986,0.789890070266489,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"155",109.137,65.338,41.4879999999998,2.27400000000011,0.795008997012505,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"156",99.0699999999999,58.5250000000001,38.135,2.37799999999993,0.790033240807912,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"157",105.904,93.5940000000001,10.2829999999999,1.9670000000001,0.85484377095686,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"158",93.1579999999999,83.3720000000001,7.78399999999988,1.96000000000004,0.868507373907233,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"159",99.9299999999998,90.057,7.84899999999993,1.98299999999995,0.86154415064272,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"160",100.989,91.0740000000001,7.87299999999982,1.99900000000002,0.862709782665562,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"161",91.9009999999998,82.1580000000001,7.71199999999999,1.98799999999983,0.868436893065578,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"162",91.798,82.0550000000001,7.72799999999984,1.97199999999998,0.865410549540178,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"163",960.197,929.916,27.8959999999997,2.3420000000001,0.865257600036006,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"164",929.961,899.435,28.4739999999997,1.99300000000039,0.867247057310483,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"165",1019.328,987.829,29.4570000000003,1.98499999999967,0.873972982553044,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"166",1060.367,1026.949,31.3879999999999,1.98499999999967,0.858396214056462,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"167",970.968,939.524,29.326,2.07399999999961,0.863563575026932,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"168",1057.048,1025.896,29.0709999999999,2.03799999999956,0.866509594200897,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"169",14.023,2.694,9.015,2.225,0.787943482076355,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"170",13.459,2.285,8.916,2.229,0.795382757542571,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"171",13.619,2.215,9.163,2.21,0.784519365633197,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"172",13.366,2.038,9.083,2.215,0.791172061521085,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"173",13.21,1.985,8.952,2.244,0.789285843239379,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"174",13.287,2.03400000000001,9.009,2.21299999999999,0.785600923551543,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"175",44.496,23.05,19.172,2.244,0.783781038131019,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"176",40.84,22.08,16.752,1.977,0.793415609922147,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"177",42.766,23.165,17.603,1.976,0.792548756485721,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"178",41.126,22.125,17.03,1.94900000000001,0.790392088046199,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"179",42.448,22.938,17.508,1.97899999999998,0.788219287060952,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"180",39.82,21.19,16.608,2,0.793692312061572,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"181",66.165,38.5549999999999,25.621,1.96499999999997,0.78798283975348,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"182",83.457,48.774,32.63,2.02999999999997,0.788404002017925,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"183",75.739,43.788,29.9019999999999,2.02100000000007,0.786220249633013,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"184",78.2329999999999,45.255,30.937,2.01699999999994,0.802079029028647,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"185",73.169,42.6160000000001,28.5219999999999,2.00900000000001,0.782532910094698,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"186",82.85,50.346,30.4879999999999,1.99300000000005,0.792005872598803,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
