"","numPredictors","trainingExamples","cells","config","TotalRate","cores","GBMemory","accuracy","seconds","cost"
"11183",3,3000,1e+05,205,0.54108,18,2,0.785152865945085,1.65147324625306,0.893579144082607
"11184",4,3000,1e+05,205,0.54108,18,2,0.836784368380729,1.61993779477852,0.876515941998761
"11185",5,3000,1e+05,205,0.54108,18,2,0.830020628508116,1.69134643815771,0.915153730758375
"11186",1,4000,1e+05,205,0.54108,18,2,0.609174315688969,2.01019673277782,1.08767724817142
"11187",2,4000,1e+05,205,0.54108,18,2,0.677203195815091,1.96661752113943,1.06409740833812
"11188",3,4000,1e+05,205,0.54108,18,2,0.795159454600488,1.92800225108261,1.04320345801578
"11189",4,4000,1e+05,205,0.54108,18,2,0.846573890267041,1.8986254744803,1.0273082717318
"11190",5,4000,1e+05,205,0.54108,18,2,0.839814400284508,1.97267856716831,1.06737691912343
"11191",1,5000,1e+05,205,0.54108,18,2,0.616368991535633,2.27762245994662,1.23237596062792
"11192",2,5000,1e+05,205,0.54108,18,2,0.684393546765657,2.23910299072646,1.21153384622228
"11193",3,5000,1e+05,205,0.54108,18,2,0.80231610920257,2.19931564126338,1.19000570717479
"11194",4,5000,1e+05,205,0.54108,18,2,0.852662606842827,2.16964833899659,1.17395332326428
"11195",5,5000,1e+05,205,0.54108,18,2,0.845611624466765,2.24607317699786,1.21530527461
"11196",1,6000,1e+05,205,0.54108,18,2,0.625131161352044,2.69486305337046,1.45813650091769
"11197",2,6000,1e+05,205,0.54108,18,2,0.693112225830344,2.66065665668289,1.43962810379798
"11198",3,6000,1e+05,205,0.54108,18,2,0.810995084005988,2.61732416589383,1.41618175968183
"11199",4,6000,1e+05,205,0.54108,18,2,0.860741144802587,2.5823899645605,1.39727956202439
"11200",5,6000,1e+05,205,0.54108,18,2,0.853562844427538,2.63317798365154,1.42475994339418
"11201",1,7000,1e+05,205,0.54108,18,2,0.639305445238683,2.82592878069502,1.52905354465846
"11202",2,7000,1e+05,205,0.54108,18,2,0.707611745359623,2.79082580716926,1.51006002774314
"11203",3,7000,1e+05,205,0.54108,18,2,0.815650217084812,2.75476010802736,1.49054559925144
"11204",4,7000,1e+05,205,0.54108,18,2,0.865377691984664,2.71723234707053,1.47024007835292
"11205",5,7000,1e+05,205,0.54108,18,2,0.858200234354804,2.76610446565901,1.49668380427878
"11206",1,8000,1e+05,205,0.54108,18,2,0.643605729782244,3.0759887538207,1.66435599491731
"11207",2,8000,1e+05,205,0.54108,18,2,0.715664252330413,3.04065340673768,1.64523674531762
"11208",3,8000,1e+05,205,0.54108,18,2,0.82345189238598,3.00314475685511,1.62494156503916
"11209",4,8000,1e+05,205,0.54108,18,2,0.868365577087285,2.96439156580785,1.60397298842731
"11210",5,8000,1e+05,205,0.54108,18,2,0.861247127859519,3.00939339135369,1.62832257619365
"11211",1,9000,1e+05,205,0.54108,18,2,0.645938627715749,3.2015159425479,1.73227624619382
"11212",2,9000,1e+05,205,0.54108,18,2,0.717836951584093,3.16128139101081,1.71050613504813
"11213",3,9000,1e+05,205,0.54108,18,2,0.82544041667667,3.1343745983674,1.69594740768463
"11214",4,9000,1e+05,205,0.54108,18,2,0.868885006195029,3.09443235755008,1.6743354600232
"11215",5,9000,1e+05,205,0.54108,18,2,0.861738375332339,3.13933373022979,1.69863069475273
"11216",1,10000,1e+05,205,0.54108,18,2,0.652736563263046,3.33153669552386,1.80262787521405
"11217",2,10000,1e+05,205,0.54108,18,2,0.723801700928639,3.28811857814477,1.77913520026257
"11218",3,10000,1e+05,205,0.54108,18,2,0.83089154070856,3.25942723022022,1.76361088572756
"11219",4,10000,1e+05,205,0.54108,18,2,0.873880064683601,3.21762362593324,1.74099179151996
"11220",5,10000,1e+05,205,0.54108,18,2,0.866728874953032,3.26568508446078,1.76699688550004
"11221",1,0,1e+05,206,0.9018,18,4,0.557855714495469,2.81239125345471,2.53621443236546
"11222",2,0,1e+05,206,0.9018,18,4,0.623035325619875,2.78759488542751,2.51385306767853
"11223",3,0,1e+05,206,0.9018,18,4,0.738400509794592,2.7742423810622,2.50181177924189
"11224",4,0,1e+05,206,0.9018,18,4,0.792285252243716,2.73394764264127,2.46547398413389
"11225",5,0,1e+05,206,0.9018,18,4,0.786301235422072,2.79640033994825,2.52179382656533
"11226",1,1000,1e+05,206,0.9018,18,4,0.557855714495469,2.81239125345471,2.53621443236546
"11227",2,1000,1e+05,206,0.9018,18,4,0.623035325619875,2.78759488542751,2.51385306767853
"11228",3,1000,1e+05,206,0.9018,18,4,0.738400509794592,2.7742423810622,2.50181177924189
"11229",4,1000,1e+05,206,0.9018,18,4,0.792285252243716,2.73394764264127,2.46547398413389
"11230",5,1000,1e+05,206,0.9018,18,4,0.786301235422072,2.79640033994825,2.52179382656533
"11231",1,2000,1e+05,206,0.9018,18,4,0.564917595602048,2.78325350729937,2.50993801288257
"11232",2,2000,1e+05,206,0.9018,18,4,0.632956820481528,2.75782389126417,2.48700558514203
"11233",3,2000,1e+05,206,0.9018,18,4,0.750901988923029,2.74396610532588,2.47450863378288
"11234",4,2000,1e+05,206,0.9018,18,4,0.801866137100863,2.70359107184397,2.43809842858889
"11235",5,2000,1e+05,206,0.9018,18,4,0.795089164368766,2.76609647833412,2.49446580416171
"11236",1,3000,1e+05,206,0.9018,18,4,0.598746682461201,3.01235037580885,2.71653756890442
"11237",2,3000,1e+05,206,0.9018,18,4,0.666893377447879,2.97711744027815,2.68476450764283
"11238",3,3000,1e+05,206,0.9018,18,4,0.784846611114703,2.96230871095651,2.67140999554058
"11239",4,3000,1e+05,206,0.9018,18,4,0.835696516479656,2.92699180673375,2.6395612113125
"11240",5,3000,1e+05,206,0.9018,18,4,0.828912317966331,3.00197437682889,2.7071804930243
"11241",1,4000,1e+05,206,0.9018,18,4,0.598344815104059,3.30962087830412,2.98461610805466
"11242",2,4000,1e+05,206,0.9018,18,4,0.666432752697742,3.27587209774728,2.9541814577485
"11243",3,4000,1e+05,206,0.9018,18,4,0.784373171800718,3.2632511872871,2.94279992069551
"11244",4,4000,1e+05,206,0.9018,18,4,0.835022239451532,3.23000823003251,2.91282142184331
"11245",5,4000,1e+05,206,0.9018,18,4,0.828243308816643,3.30703578311895,2.98228486921667
"11246",1,5000,1e+05,206,0.9018,18,4,0.605429621682333,3.57445186549806,3.22344069230615
"11247",2,5000,1e+05,206,0.9018,18,4,0.673511721512985,3.54321216361733,3.19526872915011
"11248",3,5000,1e+05,206,0.9018,18,4,0.791418444267478,3.5296722707308,3.18305845374504
"11249",4,5000,1e+05,206,0.9018,18,4,0.840999573891995,3.4961430787573,3.15282182842333
"11250",5,5000,1e+05,206,0.9018,18,4,0.833929150863578,3.57593930019681,3.22478206091749
"11251",1,6000,1e+05,206,0.9018,18,4,0.609505718089895,3.23922384860624,2.92113206667311
"11252",2,6000,1e+05,206,0.9018,18,4,0.677543208819842,3.21339124581649,2.89783622547731
"11253",3,6000,1e+05,206,0.9018,18,4,0.795416666679243,3.19661549443285,2.88270785287954
"11254",4,6000,1e+05,206,0.9018,18,4,0.844397084080568,3.15791382845107,2.84780669049717
"11255",5,6000,1e+05,206,0.9018,18,4,0.837203493824934,3.21057607976351,2.89529750873073
"11256",1,7000,1e+05,206,0.9018,18,4,0.62381223187635,3.27364900613679,2.95217667373416
"11257",2,7000,1e+05,206,0.9018,18,4,0.692174958248937,3.24620085504436,2.927423931079
"11258",3,7000,1e+05,206,0.9018,18,4,0.800187237387731,3.2364907289311,2.91866733935007
"11259",4,7000,1e+05,206,0.9018,18,4,0.849127232334236,3.19509464385567,2.88133634982904
"11260",5,7000,1e+05,206,0.9018,18,4,0.841934484823791,3.24584099466554,2.92709940898939
"11261",1,8000,1e+05,206,0.9018,18,4,0.628779962882688,3.47880803047748,3.13718908188459
"11262",2,8000,1e+05,206,0.9018,18,4,0.700894911682505,3.45022488005293,3.11141279683174
"11263",3,8000,1e+05,206,0.9018,18,4,0.808656359151677,3.43918831759337,3.1014600248057
"11264",4,8000,1e+05,206,0.9018,18,4,0.852784670301028,3.3965668024275,3.06302394242912
"11265",5,8000,1e+05,206,0.9018,18,4,0.845650931192677,3.44282718646907,3.10474155675781
