"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","cells"
"115",5.68599999999969,0.216999999999643,3.51800000000003,1.88900000000012,0.728071159477431,8,16,20000,0.5,"Picea",35000
"116",5.47500000000036,0.113000000000284,3.22699999999986,2.09100000000035,0.737629765183259,1,4,10000,0.5,"Picea",35000
"117",5.69200000000001,0.207999999999629,3.51900000000023,1.90400000000045,0.738873417016162,8,16,20000,0.5,"Picea",35000
"118",5.16499999999996,0.108999999999469,3.01900000000023,1.99200000000019,0.749278112840654,1,4,10000,0.5,"Picea",35000
"119",5.64500000000044,0.212000000000444,3.49299999999948,1.8730000000005,0.745416598232842,8,16,20000,0.5,"Picea",35000
"120",5.19999999999982,0.108000000000175,3.08099999999922,1.96500000000015,0.731709972974083,1,4,10000,0.5,"Picea",35000
"121",5.63500000000022,0.21100000000024,3.47800000000007,1.88199999999961,0.738498282474868,8,16,20000,0.5,"Picea",35000
"122",5.63999999999942,0.108000000000175,3.12700000000041,2.36199999999917,0.744094605757835,1,4,10000,0.5,"Picea",35000
"123",5.6220000000003,0.208999999999833,3.46399999999994,1.88400000000001,0.745908831508316,8,16,20000,0.5,"Picea",35000
"124",5.12899999999991,0.122000000000298,3.03999999999996,1.92299999999977,0.73862408857683,1,4,10000,0.5,"Picea",35000
"125",5.6869999999999,0.216999999999643,3.52900000000045,1.88000000000011,0.740962879551157,8,16,20000,0.5,"Picea",35000
"126",5.59000000000015,0.118999999999687,3.30300000000079,2.10599999999977,0.723844119044344,1,4,10000,0.5,"Picea",35000
"127",5.69500000000062,0.207000000000335,3.53999999999996,1.88500000000022,0.727178267553466,8,16,20000,0.5,"Picea",35000
"128",5.23100000000068,0.139999999999418,3.09600000000046,1.92500000000018,0.734352047437732,1,4,10000,0.5,"Picea",35000
"129",5.61700000000019,0.221999999999753,3.45899999999983,1.8730000000005,0.740311415238492,8,16,20000,0.5,"Picea",35000
"130",5.71000000000004,0.248999999999796,3.08899999999994,2.3130000000001,0.747219043290183,1,4,20000,0.5,"Picea",35000
"131",5.78500000000076,0.347999999999956,3.48499999999967,1.88800000000083,0.74748712644732,8,16,20000,0.5,"Picea",35000
"132",5.61799999999948,0.23700000000008,3.27199999999993,2.05299999999988,0.736892207593721,1,4,20000,0.5,"Picea",35000
"133",5.7510000000002,0.32300000000032,3.46599999999944,1.88200000000052,0.737580145881887,8,16,30000,0.5,"Picea",35000
"134",5.49300000000039,0.276000000000749,3.23399999999947,1.92700000000059,0.742055571905441,1,4,20000,0.5,"Picea",35000
"135",5.83199999999943,0.333999999999833,3.53399999999965,1.88199999999961,0.733742280754769,8,16,30000,0.5,"Picea",35000
"136",5.28800000000047,0.230999999999767,3.07399999999961,1.91000000000076,0.733121682521274,1,4,20000,0.5,"Picea",35000
"137",5.71299999999974,0.324999999999818,3.43299999999999,1.8760000000002,0.732202683450321,8,16,30000,0.5,"Picea",35000
"138",5.45800000000054,0.23700000000008,3.23700000000008,1.92799999999988,0.735404525953352,1,4,20000,0.5,"Picea",35000
"139",5.80400000000009,0.331999999999425,3.51299999999992,1.88000000000011,0.744587804970957,8,16,30000,0.5,"Picea",35000
"140",5.64400000000023,0.234000000000378,3.2519999999995,2.10300000000007,0.745485457997173,1,4,20000,0.5,"Picea",35000
"141",5.8760000000002,0.46100000000024,3.46600000000035,1.86999999999989,0.73750048918552,8,16,30000,0.5,"Picea",35000
"142",5.6279999999997,0.252000000000407,3.3760000000002,1.93499999999949,0.737974866475218,1,4,20000,0.5,"Picea",35000
"143",5.84900000000016,0.333999999999833,3.54899999999998,1.88500000000022,0.747029770181643,8,16,30000,0.5,"Picea",35000
"144",5.79700000000048,0.22400000000016,3.19599999999991,2.32000000000062,0.741369564219372,1,4,20000,0.5,"Picea",35000
"145",5.37100000000009,0.256000000000313,3.05499999999938,2.00399999999991,0.750356336344922,1,4,20000,0.5,"Picea",35000
"146",5.75300000000061,0.329000000000633,3.46299999999974,1.88000000000011,0.733778053478974,8,16,30000,0.5,"Picea",35000
