"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","numPredictors","cells"
"118",5.75700000000052,0.0410000000001673,3.59599999999955,2.0590000000002,0.714107662878867,8,16,20000,0.5,"Picea",5,35000
"119",5.34300000000076,0.0199999999995271,3.13199999999961,2.14700000000084,0.722112648873203,1,4,10000,0.5,"Picea",5,35000
"120",5.69500000000062,0.0389999999997599,3.57300000000032,2.02500000000055,0.706620594239068,8,16,20000,0.5,"Picea",5,35000
"121",5.53600000000006,0.0209999999997308,3.1260000000002,2.34299999999985,0.710887365569344,1,4,10000,0.5,"Picea",5,35000
"122",5.6880000000001,0.0399999999999636,3.52700000000004,2.06099999999969,0.710928287915788,8,16,20000,0.5,"Picea",5,35000
"123",5.45200000000023,0.0210000000006403,3.17900000000009,2.20699999999943,0.718781455462059,1,4,10000,0.5,"Picea",5,35000
"124",5.73499999999967,0.0390000000006694,3.55799999999999,2.07799999999952,0.720332307028032,8,16,20000,0.5,"Picea",5,35000
"125",5.90599999999995,0.0200000000004366,3.26800000000003,2.57399999999961,0.706157912172422,1,4,10000,0.5,"Picea",5,35000
"126",5.73099999999977,0.0410000000001673,3.55799999999999,2.07200000000012,0.709851409808598,8,16,20000,0.5,"Picea",5,35000
"127",5.72599999999966,0.0399999999999636,3.23499999999967,2.39199999999983,0.705550663139949,1,4,20000,0.5,"Picea",5,35000
"128",5.83799999999974,0.0399999999999636,3.625,2.11200000000008,0.720715644343303,8,16,20000,0.5,"Picea",5,35000
"129",5.70299999999952,0.0420000000003711,3.21399999999994,2.35899999999947,0.717807876616984,1,4,20000,0.5,"Picea",5,35000
"130",5.74099999999999,0.0419999999994616,3.57800000000043,2.06099999999969,0.71304447617364,8,16,20000,0.5,"Picea",5,35000
