"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"300004",5,6000,7.81592890423973,14.6450186250302,0.742484266941675,11,16
"7354",5,147,21.9687150688535,46.0064437228917,0.706120123756076,11,18
"7104",5,142,21.9307283366488,50.761302422574,0.705821579208655,11,20
"7204",5,144,21.9559361635918,55.6596155308751,0.706023911481074,11,22
"13055",5,261,21.9462580258682,7.91645419509117,0.729425783403403,12,2
"9605",5,192,21.9769900694933,13.2125664297794,0.711411782192334,12,4
"86010",5,172,21.9801442068054,15.8573552365577,0.710451249798497,12,5
"86011",5,172,21.9801442068054,18.500247775984,0.710451249798497,12,6
"7455",5,149,21.9995809003113,23.8070664670809,0.708628686886364,12,8
"70510",5,141,21.9644653294583,29.0510804233548,0.707811473473954,12,10
"70511",5,141,21.9644653294583,34.3330950457829,0.707811473473954,12,12
"7255",5,145,21.9507671478059,39.5904036277827,0.708955997685687,12,14
"300005",5,6000,7.81592890423973,15.9763839545784,0.742484266941675,12,16
"7355",5,147,21.9687150688535,50.1888476977,0.706120123756076,12,18
"7105",5,142,21.9307283366488,55.3759662791717,0.705821579208655,12,20
"7205",5,144,21.9559361635918,60.7195805791365,0.706023911481074,12,22
"13056",5,261,21.9462580258682,8.57615871134876,0.729425783403403,13,2
"9606",5,192,21.9769900694933,14.313613632261,0.711411782192334,13,4
"86012",5,172,21.9801442068054,17.1788015062708,0.710451249798497,13,5
"86013",5,172,21.9801442068054,20.0419350906493,0.710451249798497,13,6
"7456",5,149,21.9995809003113,25.790988672671,0.708628686886364,13,8
"70512",5,141,21.9644653294583,31.4720037919677,0.707811473473954,13,10
"70513",5,141,21.9644653294583,37.1941862995982,0.707811473473954,13,12
"7256",5,145,21.9507671478059,42.8896039300979,0.708955997685687,13,14
"300006",5,6000,7.81592890423973,17.3077492841265,0.742484266941675,13,16
"7356",5,147,21.9687150688535,54.3712516725084,0.706120123756076,13,18
"7106",5,142,21.9307283366488,59.9906301357693,0.705821579208655,13,20
"7206",5,144,21.9559361635918,65.7795456273979,0.706023911481074,13,22
"13057",5,261,21.9462580258682,9.23586322760636,0.729425783403403,14,2
"9607",5,192,21.9769900694933,15.4146608347426,0.711411782192334,14,4
"86014",5,172,21.9801442068054,18.500247775984,0.710451249798497,14,5
"86015",5,172,21.9801442068054,21.5836224053146,0.710451249798497,14,6
"7457",5,149,21.9995809003113,27.774910878261,0.708628686886364,14,8
"70514",5,141,21.9644653294583,33.8929271605806,0.707811473473954,14,10
