siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Alexander Lake,53.333333,-60.583333,3660.0,62.4390243902439,410.0,81.9,65.8,69.5,55.3,64.1,99.7,130.0,107.4,85.1,73.7,75.0,80.1,-23.57,-23.33,-17.69,-9.65,-2.46,3.44,8.75,8.47,4.33,-1.11,-8.43,-18.48,-13.2,-11.72,-5.71,0.52,7.86,14.58,19.43,18.55,13.64,6.39,-0.5,-9.23
Alexander Lake,53.333333,-60.583333,3792.0,68.33333333333333,240.0,73.0,59.5,67.1,54.6,60.7,87.6,113.0,101.2,90.9,83.3,80.7,76.8,-24.04,-23.74,-17.81,-9.52,-2.19,3.72,9.07,8.9,4.86,-0.67,-8.29,-18.73,-13.57,-11.92,-5.65,0.74,8.08,14.69,19.4,18.43,13.47,6.14,-0.85,-9.65
Alexander Lake,53.333333,-60.583333,3923.0,61.80124223602485,322.0,69.2,58.1,67.7,56.3,62.9,89.8,113.2,98.9,86.9,78.2,75.1,71.5,-24.8,-23.86,-16.97,-8.25,-1.35,3.6,8.32,8.18,4.66,-0.61,-8.49,-19.45,-13.88,-11.99,-5.28,1.27,8.34,14.43,18.88,18.07,13.56,6.47,-0.65,-9.82
Alexander Lake,53.333333,-60.583333,4055.0,67.0846394984326,319.0,64.3,52.1,59.6,50.7,60.4,93.9,125.9,111.4,95.0,81.8,75.3,69.1,-26.03,-25.2,-18.18,-9.12,-1.74,3.7,8.76,8.72,5.05,-0.57,-8.92,-20.34,-15.4,-13.4,-6.33,0.65,8.07,14.38,18.92,18.09,13.41,5.99,-1.57,-11.16
Alexander Lake,53.333333,-60.583333,4187.0,61.172161172161175,273.0,75.7,58.2,60.3,48.1,56.9,91.9,126.3,109.9,90.5,78.8,77.9,78.7,-22.93,-22.82,-17.33,-9.43,-2.33,3.56,8.93,8.79,4.83,-0.45,-7.7,-17.75,-12.46,-11.19,-5.59,0.33,7.59,14.44,19.38,18.49,13.52,6.35,-0.24,-8.62
Alexander Lake,53.333333,-60.583333,4318.0,63.28502415458937,207.0,70.0,56.5,64.2,52.8,59.2,86.1,112.7,103.2,94.8,87.1,82.5,75.7,-24.53,-23.76,-17.51,-9.04,-1.72,4.0,8.94,8.19,3.6,-2.2,-9.72,-19.74,-14.41,-12.55,-6.01,0.65,8.18,14.86,19.49,18.33,13.1,5.5,-1.67,-10.56
Alexander Lake,53.333333,-60.583333,4450.0,62.22222222222222,270.0,67.2,54.1,60.1,49.4,57.1,86.8,114.7,100.9,86.6,76.4,73.3,70.4,-27.2,-26.51,-19.24,-9.86,-2.23,3.4,8.76,9.12,5.79,0.11,-8.75,-20.95,-15.8,-14.01,-6.86,0.36,8.09,14.73,19.65,19.18,14.73,7.21,-0.8,-11.04
Alexander Lake,53.333333,-60.583333,4581.0,67.21763085399449,363.0,68.9,55.1,62.4,51.3,57.5,83.8,110.6,102.8,95.9,88.5,83.5,75.5,-24.78,-24.09,-17.56,-8.9,-1.66,3.85,8.89,8.66,4.76,-0.78,-8.66,-19.44,-14.94,-12.9,-5.82,1.17,8.62,14.94,19.46,18.57,13.82,6.36,-1.2,-10.74
Alexander Lake,53.333333,-60.583333,4713.0,63.33333333333333,210.0,69.4,60.1,73.2,62.8,70.6,99.2,122.8,105.6,91.8,81.2,76.2,71.3,-21.84,-21.63,-16.24,-8.51,-1.59,4.13,9.31,8.95,4.84,-0.39,-7.35,-16.98,-12.28,-10.77,-4.81,1.31,8.51,15.13,19.87,18.92,14.0,6.82,0.09,-8.45
Alexander Lake,53.333333,-60.583333,4844.0,63.94557823129252,294.0,66.3,54.6,63.9,53.5,59.9,85.8,110.8,101.0,92.8,84.7,79.2,71.6,-26.03,-24.95,-17.74,-8.51,-0.98,4.52,9.41,8.99,4.84,-1.09,-9.45,-20.64,-14.55,-12.56,-5.72,1.28,9.1,15.96,20.63,19.35,13.87,5.97,-1.52,-10.64
